127.0.0.1 - - [19/Nov/2024:12:49:18 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/ HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/css/style.css HTTP/1.1" 200 6390
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/css/styles.css HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/js/jquery.vide.js HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/images/freelan.gif HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/images/freelan.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/images/freelan.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /LoginForm/home/images/freelan.mp4 HTTP/1.1" 206 5191569
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:23 +0530] "GET /LoginForm/login.html HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:23 +0530] "GET /LoginForm/home/images/freelan.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:23 +0530] "GET /LoginForm/home/images/freelan.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:23 +0530] "GET /LoginForm/home/images/freelan.gif HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:30 +0530] "GET /LoginForm/Login?em=shiva0213%40gmail.com&pwd=12345 HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:32 +0530] "GET /LoginForm/home/images/freelan.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:32 +0530] "GET /LoginForm/home/images/freelan.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:32 +0530] "GET /LoginForm/home/images/freelan.gif HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Nov/2024:12:49:34 +0530] "GET /LoginForm/table.jsp HTTP/1.1" 200 2104
